Problem,,,Constructive algorithm,,,Local search,,,GRASP,Known best solution or upper bound
Name,|V| or n,|E| or m,Simple Randomized or Randomized-1,Simple Greedy or Greedy-1,Semi-greedy-1,Simple local or local-1,,GRASP-1
,,,,,,No. of iterations,Average Value,No. of iterations,Best Value
G1,800,19176,9585,10956,11203,5,11366,5,11432,12078
G2,800,19176,9596,11030,11116,5,11389,5,11408,12084
G3,800,19176,9586,11012,11172,5,11350,5,11409,12077
G4,800,19176,9583,11031,11230,5,11382,5,11441,
G5,800,19176,9588,10990,11235,5,11380,5,11446,
G6,800,19176,75,1515,1624,5,1915,5,1960,
G7,800,19176,-82,1362,1524,5,1779,5,1829,
G8,800,19176,-84,1331,1478,5,1776,5,1830,
G9,800,19176,-27,1507,1557,5,1779,5,1804,
G10,800,19176,-78,1350,1531,5,1745,5,1783,
G11,800,1600,15,434,466,5,480,5,498,627
G12,800,1600,-1,418,472,5,471,5,482,621
G13,800,1600,17,432,502,5,484,5,492,645
G14,800,4694,2346,2890,2928,5,2972,5,2983,3187
G15,800,4661,2330,2873,2921,5,2952,5,2970,3169
G16,800,4672,2332,2878,2920,5,2949,5,2966,3172
G17,800,4667,2335,2864,2916,5,2951,5,2956,
G18,800,4694,32,780,813,5,869,5,893,
G19,800,4661,-55,681,712,5,774,5,791,
G20,800,4672,-21,698,725,5,819,5,834,
G21,800,4667,-35,704,710,5,789,5,811,
G22,2000,19990,9992,12346,12657,5,12906,5,12964,14123
G23,2000,19990,10000,12291,12662,5,12934,5,12954,14129
G24,2000,19990,9991,12367,12606,5,12922,5,12960,14131
G25,2000,19990,9994,12408,12724,5,12912,5,12951,
G26,2000,19990,9986,12355,12690,5,12889,5,12928,
G27,2000,19990,-32,2316,2565,5,2858,5,2915,
G28,2000,19990,-35,2329,2572,5,2835,5,2884,
G29,2000,19990,32,2367,2559,5,2911,5,3003,
G30,2000,19990,50,2401,2582,5,2904,5,2926,
G31,2000,19990,-34,2290,2475,5,2832,5,2862,
G32,2000,4000,14,1058,1150,5,1183,5,1200,1560
G33,2000,4000,-15,1000,1134,5,1174,5,1186,1537
G34,2000,4000,-18,988,1130,5,1156,5,1194,1541
G35,2000,11778,5882,7252,7371,5,7444,5,7462,8000
G36,2000,11766,5883,7225,7359,5,7430,5,7441,7996
G37,2000,11785,5890,7264,7382,5,7440,5,7468,8009
G38,2000,11779,5888,7305,7345,5,7434,5,7467,
G39,2000,11778,14,1861,1761,5,2079,5,2114,
G40,2000,11766,-51,1834,1887,5,2034,5,2066,
G41,2000,11785,-9,1876,1854,5,2079,5,2120,
G42,2000,11779,51,1989,1965,5,2143,5,2164,
G43,1000,9990,4993,6188,6324,5,6469,5,6491,7027
G44,1000,9990,4995,6157,6281,5,6436,5,6478,7022
G45,1000,9990,4984,6179,6341,5,6430,5,6456,7020
G46,1000,9990,4992,6150,6313,5,6420,5,6450,
G47,1000,9990,4995,6220,6360,5,6455,5,6493,
G48,3000,6000,3003,6000,6000,5,6000,5,6000,6000
G49,3000,6000,3001,6000,6000,5,6000,5,6000,6000
G50,3000,6000,2994,5880,5860,5,5858,5,5866,5988
G51,1000,5909,2954,3626,3702,5,3728,5,3742,
G52,1000,5916,2953,3650,3708,5,3730,5,3739,
G53,1000,5914,2957,3632,3684,5,3735,5,3748,
G54,1000,5916,2959,3633,3683,5,3733,5,3747,
